Год премии;Кол-во голосов;Лучший фильм_1;Лучший фильм_ 2;Лучший фильм_ 3;Лучший фильм_4;Лучший фильм_5;Лучший фильм_6;Лучший фильм_7;Лучший фильм_8;Лучший фильм_9;Лучший фильм_10;Лучший фильм_11;Лучший фильм_12;Лучший фильм_13;Лучший фильм_14;Лучший фильм_15;Лучший фильм соц. стран_1;Лучший фильм соц. стран_2;Лучший фильм соц. стран_3;Лучший фильм соц. стран_4;Лучший фильм соц. стран_5;Лучший фильм других стран_1;Лучший фильм других стран_2;Лучший фильм других стран_3;Лучший фильм других стран_4;Лучший фильм других стран_5;Слабый фильм_1;Слабый фильм_ 2;Слабый фильм_3;Слабый фильм_4;Слабый фильм_5;Лучший актер_1;Лучшая актриса_1;Лучший актер_2;Лучшая актриса_2;Зрительские симпатии;Лучшие операторы и композиторы (одним блоком);Лучший фильм на военно-патриотическую тематику;Лучший приключенческий;Лучший музыкальный;Лучшая кинокомедия;Лучший актер эпизода;Лучшая зарубежная актриса;Лучший зарубежный актер;Лучший оператор;Лучший композитор;% Женщины;% Мужчины;Менее 14 лет;16-20 лет;14–17 лет;18-24 лет;18-20 лет;21-25 лет;21–24 лет;26-30 лет;25-30 лет;31-35 лет;25-40 лет;31-40 лет;36-40 лет;41-45 лет;41-50 лет;46-50 лет;41-55  лет;более 50 лет;свыше 55;Село;Небольшой город, районный центр, рабочий поселок;Столица республики, областной центр, город с население 100 тыс. человек и более;Москва, Ленинград;Не дали ответа;До 7 классов;До 8 классов;8-10 классов;7-9 классов;7-10 классов;Среднее (неполное и полное);Общее и специальное среднее;Общее среднее;Спец. среднее;Незакон. высшее и высшее;Незакон. высшее;Высшее;Не дали ответа;Рабочие;Колхозники, рабочие совхозов;Инженерно-технические работники;Служащие;Работники сферы обслуживания, торговли, общественного питания и т. д.;Работники культуры и искусства;Научные работники, преподаватели вузов;Работники здравоохранения;Специалисты сельского хозяйства;Преподаватели школы, техникума;Учащиеся школы, техникума;Студенты вузов;Домохозяйки;Пенсионеры;Прочие;Реже раза в месяц;1—2 раза в месяц;Каждую неделю;Несколько раз в неделю;Видели фильмов_менее 15;Видели фильмов_15-30;Видели фильмов_31-50;Видели фильмов_51-70;Видели фильмов_71-100;Видели фильмов_более 100;просят посмотреть_1;просят посмотреть_2;просят посмотреть_3;просят посмотреть_4;просят посмотреть_5;просят посмотреть_6;просят посмотреть_7;просят посмотреть_8;просят посмотреть_9;просят посмотреть_10;просят посмотреть_11;просят посмотреть_12;просят посмотреть_13;просят посмотреть_14;просят посмотреть_15;просят посмотреть_16;просят посмотреть_17;просят посмотреть_18;просят посмотреть_19;просят посмотреть_20;просят посмотреть_21;просят посмотреть_22;просят посмотреть_23;просят посмотреть_24;просят посмотреть_25;просят посмотреть_26;просят посмотреть_27;просят посмотреть_28;просят посмотреть_29;просят посмотреть_30;просят посмотреть_31;просят посмотреть_32;просят посмотреть_33;просят посмотреть_34;просят посмотреть_35;просят посмотреть_36;просят посмотреть_37;просят посмотреть_38
1958;-;Настасья Филипповна;Дорогой мой человек;Коммунист;;;;;;;;;;;;;;;;;;;;;;;Девушка с гитарой;Штепсель жуенит Тарапуньку;К Черному морю;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1959;-;Судьба человека;Хмурое утро;Чрезвычайное происшествие;Баллада о солдате;Евгений Онегин;Солнце светит всем;Первый день мира;Жестокость;Пестрая двойка;Фатима;;;;;;;;;;;;;;;;Не имей сто рублей;У тихой пристани;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1960;-;Сережа;Пиковая дама;Северная повесть;Вдали от родины;Воскресение;Дама с собачкой;Белые ночи;Простая история;Мичман Панин;Прерванная песня;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Русский сувенир;Черноморочка;Спасите наши души;-;-;-;-;-;-;-;;-;-;-;-;-;-;-;-;-;-;-;-;;-;-;-;;-;;-;;-;-;;;;;-;;-;-;-;-;-;;-;-;-;-;;-;;-;-;;-;-;;-;-;-;-;-;-;-;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1961;24174;Чистое небо;Битва в пути;Две жизни;Мир входящему;Друг мой, Колька;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Человек ниоткуда;Десять шагов к востоку;Птичка-невеличка;Осторожно, бабушка!;Время летних отпусков;-;-;-;-;-;;-;-;-;-;-;-;-;-;-;-;-;-;;-;-;-;;-;;-;;-;-;;;;;-;;-;-;-;-;-;;-;-;-;-;;-;;-;-;;-;-;;-;-;-;-;-;-;-;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1962;35217;Девять дней одного года;Люди и звери;Человек-амфибия;Девчата;Среди добрых людей;Гусарская баллада;;;;;;;;;;;;;;;Кто вы, доктор Зорге? (ФРГ, Франция, Италия);Смерть зовётся Энгельхен (Чехословакия);Развод по-итальянски (Италия);;;Артист из Кохановки;Индюки;Раздумья;Чудак-человек;Командировка;Алексей Баталов;Тамара Сёмина;Иннокентий Смоктуновский;Надежда Румянцева;"Людмила Голубкина; Жанна Болотова; Анастасия Вертинская; Инна Гулая; Лариса Лужина; Ия Саввина; Тамара Макарова; Николай Еременко; Вячеслав Тихонов; Николай Рыбников; Юрий Яковлев; Юрий Никулин; Инна Коренева";"Владимир Носов; Геннадий Лавров; Владимир Дербенёв; Эдуард Розовский; Тихон Хренников; Александра Пахмутова; Александр Петров; Микаэл Таривердиев";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1963;33200;Оптимистическая трагедия;Все остается людям;Коллеги;Иоланта;Порожний рейс;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Черемушки;Ход конем;Ехали мы, ехали;Полустанок;Жених без диплома;Н. Черкасов;М. Володина;В. Тихонов ;Н. Ургант;-;;-;-;-;Каин XVIII;-;-;-;-;-;-;-;-;;-;-;-;;-;;-;;-;-;;;;;-;;-;-;-;-;-;;-;-;-;-;;-;;-;-;;-;-;;-;-;-;-;-;-;-;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1964;30000;Гамлет;Живые и мертвые;Родная кровь;Тишина;День счастья;Добро пожаловать;Донская повесть;Живет такой парень;Крепостная актриса;Москва — Генуя;Сказ о матери;Я шагаю по Москве;;;;;;;;;;;;;;Укротители велосипедов;Бухта Елены;Возвращение Вероники;Выстрел в тумане;Генерал и маргаритки;Иннокентий Смоктуновский;Вия Артмане;Леонид Куравлев;Людмила Чурсина;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1965;40106;Председатель;Брак по-итальянски (Италия - Франция);Отец солдата;Жили-были старик;Верьте мне, люди;Гранатовый браслет;Мне 20 лет;Нюрнбергский процесс (США);Пепел и алмаз (Польша);Операция «Ы» и другие приключения Шурика;;;;;;-;-;-;-;-;-;-;-;-;-;Звезда балета;Хотите верьте — хотите нет;Черные очки (ОАР);Все для вас;Когда песня не кончается ;Михаил Ульянов;Софи Лорен;-;-;"С. Закариадзе; А. Шенгелая; И. Лапиков; Н. Мордюкова; Л. Шагалова; Ю. Никулин";;-;-;-;-;-;-;-;-;-;-;-;-;;-;-;-;;-;;-;;-;-;;;;;-;;-;-;-;-;-;;-;-;-;-;;-;;-;-;;-;-;;-;-;-;-;-;-;-;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1966;52000;Никто не хотел умирать;Война и мир;Обыкновенный фашизм;Ленин в Польше;Сердце матери;Женщины;Берегись автомобиля;По тонкому льду;Гадюка;Звонят, откройте дверь;Третья молодость;Затмение ;Расемон;Этот безумный,безумный, безумный, безумный мир;"Загадочный пассажир; Голосую за любовь; Старик на уборке хмеля; Любовь по вязами; Приключения Вернера Хольта ";;;;;;Они шли за солдатами;;;;;Любовь и лимандры;Капризы 1900 года;Одесские каникулы;Месяц май;Стряпуха;"Иннокентий Смоктуновский; Вячеслав Тихонов";Людмила Савельева;Бруно Оя;"София Лорен; Поля Ракса";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1967;40000;Журналист;Сильные духом;Старшая сестра;Война и мир;Эдгар и Кристина;Цыган;Зося;;;;;;;;;Бумеранг (Польша);Венгерский набоб (Венгрия);Пепел (Польша);Тени над Нотр-Дам (ГДР);Фараон (Польша);Спартак (США);Они бродили по дорогам (Италия);Фантомас (Франция, Италия);Вчера, сегодня, завтра (Италия, Франция);Тигровая бухта (Англия);Июльский дождь;Наедине с ночью;Прощай;Кто придумал колесо;Письма с острова Чудаков;Гунар Цилинский;Татьяна Доронина;;;"Галина Польских; Наталья Варлей; Валентина Артмане; Людмила Савельева; Людмила Хитяева; Юрий Васильев; Лев Макеев; Евгений Леонов; Родион Нахапетов; Сергей Горский; Георгий Жжёнов";;;;;;;"Пола Ракса; Софи Лорен";;;;72;28;;31;;;;19;;11;;6;;;4;4;;1;;5;;7;37;44;12;;3;;;;;;62;;;35;;;;12;1;27;;;;5;3;1;;23;16;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
